ensgene,gso32.BL6.N.N.4h.1,gso32.BL6.IFNb.N.4h.1,gso32.BL6.N.N.4h.2,gso32.BL6.IFNb.N.4h.2,gso32.BL6.N.N.24h.1,gso32.BL6.IFNb.N.24h.1,gso32.BL6.N.N.24h.2,gso32.BL6.IFNb.N.24h.2
ENSMUSG00000026319,1016,795,1177,818,1139,794,1063,857
ENSMUSG00000026321,5252,2619,5442,2624,1158,2853,1338,3033
ENSMUSG00000099843,42,112,36,75,51,93,56,95
ENSMUSG00000038866,1101,3086,1216,3403,1037,2341,977,2503
ENSMUSG00000044340,598,1770,604,2039,473,1076,440,1046
ENSMUSG00000057329,384,39,449,40,30,134,92,134
ENSMUSG00000009905,276,57,332,40,290,240,386,286
ENSMUSG00000009907,4096,2934,4535,2954,4003,3725,3820,4065
ENSMUSG00000059956,36,7,34,4,3,1,2,0
ENSMUSG00000062345,2,1,0,1,0,0,0,0
ENSMUSG00000026315,815,528,816,541,480,1298,564,1503
ENSMUSG00000038702,367,210,405,209,315,187,315,179
ENSMUSG00000026374,3069,1309,3206,1365,2104,1287,2217,1407
ENSMUSG00000026377,1449,228,1446,227,515,533,480,542
ENSMUSG00000064302,1340,930,1501,978,1164,871,1154,898
ENSMUSG00000026380,10,16,9,20,5,2,4,1
ENSMUSG00000004451,3116,2195,3118,2128,2878,2802,2830,2632
ENSMUSG00000098923,808,350,762,295,410,675,376,686
ENSMUSG00000026383,38,13,38,24,33,8,40,4
ENSMUSG00000026384,438,90,511,129,274,141,308,194
ENSMUSG00000036975,244,83,225,88,156,130,160,129
ENSMUSG00000050777,836,513,768,443,829,431,616,479
ENSMUSG00000026385,3715,1896,3262,1740,2229,1074,2229,1069
ENSMUSG00000026388,29,13,30,13,22,12,25,14
ENSMUSG00000026389,2017,1795,1913,1732,991,3312,819,3211
ENSMUSG00000026390,1,6,9,1,18,5,19,6
ENSMUSG00000003721,680,379,760,388,733,564,652,621
ENSMUSG00000026339,1190,285,1280,294,1386,886,1477,947
ENSMUSG00000001674,658,162,670,142,260,455,267,456
ENSMUSG00000026341,17426,27533,17865,29211,12809,25118,12137,27877
ENSMUSG00000026342,1383,3231,1463,3211,1661,2921,1630,3233
ENSMUSG00000036155,2651,902,3174,1042,1361,1641,1530,1937
ENSMUSG00000026347,63,7,46,8,6,3,5,1
ENSMUSG00000026349,948,745,959,726,987,1022,1047,1122
ENSMUSG00000036104,1350,665,1422,727,1237,1039,1229,1087
ENSMUSG00000036086,1718,2167,1556,2043,447,1573,622,1783
ENSMUSG00000056211,3563,1503,3915,1529,1333,1871,1492,1812
ENSMUSG00000026353,3134,1582,3216,1696,2169,2299,2265,2334
ENSMUSG00000026355,6390,8734,6860,9741,1875,1796,2286,2006
ENSMUSG00000026356,2701,1016,2776,948,1394,3051,1450,3081
ENSMUSG00000045382,421,193,391,150,3505,1938,3173,1700
ENSMUSG00000086825,3,0,3,0,24,6,20,8
ENSMUSG00000026399,61,29,49,29,140,85,115,76
ENSMUSG00000026409,154,49,185,45,168,155,183,154
ENSMUSG00000046404,323,185,364,168,253,235,271,312
ENSMUSG00000042510,28,20,22,24,46,24,31,24
ENSMUSG00000016529,140,2906,119,2844,88,515,80,554
ENSMUSG00000016528,4896,5014,4518,5154,6108,4466,5882,4452
ENSMUSG00000016526,158,30,143,15,315,176,253,173
ENSMUSG00000026427,866,445,854,450,1175,1320,1112,1247
ENSMUSG00000026430,1153,705,1300,738,2191,2347,2127,2410
ENSMUSG00000042349,1563,1367,1496,1324,3277,1602,2971,1599
ENSMUSG00000026425,3996,6868,4125,7617,5115,6807,5222,6892
ENSMUSG00000055184,168,559,149,602,69,324,82,327
ENSMUSG00000004552,37,35,36,21,78,121,57,108
ENSMUSG00000052688,8013,16770,7586,16301,3983,13916,4049,13938
ENSMUSG00000042268,9,16,8,12,1,1,4,3
ENSMUSG00000013275,418,157,461,157,402,344,417,335
ENSMUSG00000026433,720,1488,704,1529,1281,1025,1206,959
ENSMUSG00000026434,3872,1418,4508,1516,2806,820,3219,930
ENSMUSG00000026435,42,87,35,90,25,14,17,12
ENSMUSG00000026436,642,588,632,523,576,653,612,723
ENSMUSG00000059149,226,224,267,219,262,233,295,308
ENSMUSG00000026437,6049,1975,5857,1935,2871,9025,2723,8623
ENSMUSG00000009772,634,1279,630,1286,838,996,713,1028
ENSMUSG00000100658,51,53,68,51,63,370,61,401
ENSMUSG00000042066,495,88,507,83,307,180,307,178
ENSMUSG00000042046,1302,373,1373,375,1442,746,1394,727
ENSMUSG00000026439,1942,936,2011,1064,1433,1246,1402,1408
ENSMUSG00000048174,199,62,160,45,188,107,193,115
ENSMUSG00000054387,1272,634,1308,788,2117,1146,2079,1415
