Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
ENSMUSG00000038909,1903.76896975852,0.0584255022910034,0.0743207763536245,0.786126103056431,0.431793613165417,0.50385309519852,Kat7
ENSMUSG00000038893,90.688442038414,-1.75013824417233,0.291896275839768,-5.99575393395235,2.025435204382e-09,6.97210694460578e-09,Fam117a
ENSMUSG00000020873,1315.2113242997,1.06931352871127,0.0944517503048428,11.3212674752989,1.02972239229439e-29,8.29274181267049e-29,Slc35b1
ENSMUSG00000057522,3448.51814283894,0.408518570383359,0.0640915914923243,6.37398074960088,1.8418371932561602e-10,6.79591254306039e-10,Spop
ENSMUSG00000038845,270.695389725372,-0.218891487477727,0.169274760854162,-1.29311355321489,0.195971788257676,0.2540532820239,Phb
ENSMUSG00000045075,56.9298341902613,-0.780269922978802,0.339414190339235,-2.29887242545441,0.0215121846309404,0.0347878471246471,Gm9796
ENSMUSG00000075595,998.451084293603,-0.521014306767491,0.0947248363660099,-5.50029249725309,3.79161730780941e-08,1.18380512454992e-07,Zfp652
ENSMUSG00000050860,8.86974219660268,1.3274448553206,0.926491803126551,1.43276481328921,0.151925060115633,0.202961118821002,Phospho1
ENSMUSG00000018381,145.876200259981,1.88990540830124,0.224783244214878,8.40767920626064,4.18203092797092e-17,2.1894470447734001e-16,Abi3
ENSMUSG00000038811,385.922080319865,0.608964814955167,0.136879535510833,4.44891058902644,8.63069325087283e-06,2.19233613753916e-05,Gngt2
ENSMUSG00000013418,8.00913694153165,-1.49096376783324,0.881205593749286,-1.69195903703879,0.0906537842076296,0.127873095250298,B4galnt2
ENSMUSG00000006058,713.916386733449,0.230941959288864,0.107099113534314,2.15633866301676,0.0310572303608274,0.048677058298954,Snf8
ENSMUSG00000014349,3006.70589169541,0.192877009133358,0.0689159727876955,2.79872722289708,0.0051304458127944,0.0092284649401931,Ube2z
ENSMUSG00000006057,293.214231142357,-0.10437528709708,0.165052431501794,-0.632376549363019,0.527140853791306,0.59654662136531,Atp5g1
ENSMUSG00000038692,98.6601864810974,-0.260233123776985,0.253994595602534,-1.02456165714728,0.305570064197362,0.374574580456496,Hoxb4
ENSMUSG00000048763,22.3701143378854,-0.749039778465247,0.512083847687847,-1.46272877351492,0.14354160957026,0.193141890689628,Hoxb3
ENSMUSG00000020876,573.036762463202,0.925983009113692,0.117658558873689,7.87008627317775,3.5439677280028202e-15,1.70959583427501e-14,Snx11
ENSMUSG00000018666,841.896178152318,-0.276522101443599,0.0976503035828814,-2.83175874828591,0.004629276184163,0.0083957169665855,Cbx1
ENSMUSG00000038615,4822.55468883172,0.88573538433813,0.0614004270370909,14.4255573956037,3.57371055792219e-47,4.11338026809372e-46,Nfe2l1
ENSMUSG00000018672,313.39585431762,-1.94626160293657,0.160278657560002,-12.1429866743672,6.2502208442436395e-34,5.6883368918941195e-33,Copz2
ENSMUSG00000018669,434.47183432443,-0.4025020749311,0.127720539937862,-3.15142791540753,0.0016247426187917,0.0031413697414125,Cdk5rap3
ENSMUSG00000018659,486.63611712408,0.0714912813727874,0.123061135511583,0.580941180784559,0.561280096526225,0.628535334775812,Pnpo
ENSMUSG00000018678,810.808000305844,-0.0593850575935083,0.0996664136718661,-0.595838210743923,0.551283314474996,0.619278879365839,Sp2
ENSMUSG00000020877,33.8408902283317,-0.95266528607716,0.429883800721596,-2.21609952382023,0.0266846868617783,0.0423861407369418,Scrn2
ENSMUSG00000001445,1104.09195901327,0.325065606970612,0.0907457190446018,3.58215914087188,0.0003407660903303,0.0007226780269612,Mrpl10
ENSMUSG00000038534,332.006479370045,-0.29510650500458,0.152131581982286,-1.93981092656318,0.052402672254173,0.0784130319798074,Osbpl7
ENSMUSG00000038517,1127.43281100409,0.606578554771554,0.0925880360578153,6.55137078826021,5.701130528562109e-11,2.17535824525239e-10,Tbkbp1
